"STUID","YEAR","GENDER","RACETHN","MAJOR","DISTANCE","HS_GPA","COLLEGE_GPA","FIRST_GEN","ACT01","ACT02","ACT03","ACT04","ACT05","ACT06","ACT07","ACT08","ACT09","ACT10","ACT11","ACT12","ACT13","RATE1","RATE2","RATE3","RATE4","RATE5","RATE6","RATE7","AGREE_01","AGREE_02","AGREE_03","AGREE_04","AGREE_05","AGREE_06","AGREE_07","AGREE_08","AGREE_09"
"5KHo0u","2012","male",2,"6","3",NA,5,"2",3,3,2,2,3,1,2,3,1,2,1,3,3,2,1,4,3,3,2,2,4,2,2,3,2,1,3,5,5
"EdnL6m","2015","female",6,"6",NA,4,3,"1",3,2,2,3,3,3,2,3,1,2,3,2,1,5,1,4,5,4,5,3,5,6,6,1,1,2,4,6,1
"DoTpkm","2013","female",6,"6","5",8,8,"1",3,2,1,3,2,2,3,3,2,2,1,3,1,5,2,1,5,1,5,2,4,6,5,1,5,2,3,2,2
"CxYR3R","2013","male",6,"6",NA,7,5,"1",2,1,1,3,1,2,3,3,2,3,2,1,2,1,1,5,5,2,4,4,2,3,3,5,5,1,1,4,1
"2qCoyr","2014","female",4,"3","1",8,6,"1",1,1,2,2,2,3,2,3,1,2,2,3,1,5,1,2,4,2,5,5,1,5,2,1,5,1,5,1,5
"cfYv9z","2014","female",6,"6","5",8,7,"1",2,2,2,3,2,2,1,2,1,2,3,2,2,1,5,3,4,3,5,3,3,5,5,3,2,3,1,1,1
"1udC9G","2015","female",6,"2","4",4,5,"1",2,2,3,3,2,3,1,3,3,1,3,2,3,1,5,2,1,4,2,2,5,1,1,5,1,6,3,3,3
"8cnilZ","2015","female",6,"6","4",8,8,"1",1,3,3,1,1,2,3,1,3,1,3,1,1,5,2,3,2,4,4,2,3,2,5,4,2,2,5,4,1
"DnukUU","2013","female",6,"6","1",8,6,"1",1,2,1,2,1,3,1,3,2,3,3,2,1,4,4,1,5,5,2,4,6,6,5,6,6,2,1,1,5
"WaRvMc","2012","male",3,"4","4",NA,7,"2",2,1,3,2,1,1,1,3,2,2,3,3,3,1,3,1,5,3,1,3,5,3,3,6,3,3,6,2,5
"5WagrQ","2015","male",6,"6","4",8,4,"1",3,1,2,1,2,3,3,3,1,3,2,2,1,1,2,4,4,2,2,5,4,5,3,6,6,2,3,5,6
"VfaDiX","2013","male",2,"5","5",5,6,"1",2,1,2,1,3,3,1,3,1,3,2,3,1,1,5,3,4,2,3,1,5,2,1,1,1,5,1,3,1
"joVAhG","2012","male",2,"6","5",8,6,"1",2,3,1,2,1,2,1,3,1,3,1,2,1,3,5,1,1,3,3,4,2,3,1,2,3,3,3,5,4
"3aGv61","2013","male",6,"3","2",8,6,"1",2,1,1,3,3,2,1,2,1,2,3,1,1,4,1,3,4,4,5,3,3,3,1,5,5,4,2,2,6
"36EiJ0","2013","female",6,"6","3",7,5,"1",1,2,2,3,2,1,1,2,2,2,3,2,1,4,5,3,3,1,2,1,5,2,1,3,2,1,3,5,3
"pUqBxC","2012","female",6,"5","3",8,7,"1",3,3,3,1,2,3,3,2,3,1,2,1,1,2,5,1,4,5,2,3,3,5,4,3,6,3,4,4,5
"6UV818","2012","female",4,"3",NA,7,6,"1",2,3,2,3,1,2,2,1,1,2,2,1,2,3,4,1,2,3,1,4,3,2,3,4,1,3,2,1,5
"yBBIjd","2012","male",6,"3","5",8,4,"1",2,3,3,2,1,1,1,3,1,2,3,1,3,1,1,3,1,2,5,5,2,6,2,1,2,5,4,1,1
"oNvI5C","2013","male",7,"3",NA,8,8,"1",1,2,1,2,3,1,2,1,2,1,2,2,2,2,3,2,1,4,5,4,5,2,4,1,1,5,5,3,2
"ju3exJ","2013","male",6,"3",NA,8,3,"1",2,3,3,2,3,1,3,2,2,1,2,1,1,4,5,2,2,4,2,2,6,3,3,6,3,4,6,5,6
"MVXH0j","2013","male",6,"5","4",NA,4,"2",2,3,3,1,3,2,2,2,3,1,1,3,3,3,1,3,2,1,4,1,2,4,2,3,3,2,6,4,6
"fVcjlX","2012","female",6,"3","5",7,5,"1",3,2,3,2,2,2,3,2,3,3,1,1,2,1,2,4,4,5,4,4,2,3,1,6,6,3,1,2,4
"1EbHPf","2013","female",6,"3","5",NA,4,"2",3,3,3,1,2,3,3,3,3,3,1,2,3,2,4,3,5,1,5,3,4,3,4,6,2,4,6,2,1
"RNa4rh","2014","female",4,"3","5",8,4,"1",2,1,1,3,3,3,2,2,2,2,2,1,1,2,3,3,2,2,1,3,2,2,1,4,6,3,4,6,6
"EnlGsA","2013","female",6,"5","5",8,4,"1",2,2,1,2,2,1,3,2,2,3,3,2,3,1,5,4,4,1,4,2,2,5,5,6,5,3,2,2,4
"JkeQta","2012","female",6,"3","4",8,4,"1",3,3,1,2,3,1,1,2,1,3,2,3,3,2,4,1,3,4,4,1,2,6,4,1,2,6,2,6,5
"XH96tL","2015","male",6,"6","5",7,6,"1",3,2,2,1,3,3,2,3,3,3,1,3,1,2,3,4,1,2,2,1,4,1,5,2,3,3,3,4,4
"TEj5u2","2013","female",6,"6","5",8,8,"1",3,3,3,2,2,1,3,3,3,1,1,1,2,1,3,2,1,1,4,4,6,3,5,3,3,3,6,5,1
"uAIbzX","2015","male",6,"1","5",5,5,"1",1,3,3,1,3,1,3,1,1,3,2,2,3,1,1,4,2,4,5,2,1,2,3,1,4,6,6,5,2
"MW6iC2","2013","female",2,"5","5",7,5,"1",3,2,2,3,2,2,2,1,1,1,3,3,3,3,4,3,5,3,1,3,1,2,2,2,5,1,1,1,2
"GD882m","2013","male",7,"5","4",NA,5,"2",3,2,1,1,3,3,1,3,1,2,2,2,2,2,5,4,2,4,1,5,2,5,6,1,1,5,3,6,4
"wilyLr","2015","male",6,"6","5",7,5,"1",1,2,2,1,3,3,2,2,2,2,3,1,1,1,1,2,1,3,2,3,4,6,4,1,1,2,4,6,2
"PCETLM","2014","male",6,"1","3",5,4,"1",3,2,1,2,1,2,3,3,3,1,3,1,3,4,4,5,1,5,4,4,1,6,3,4,6,6,6,4,1
"WaB08s","2012","male",6,"6","1",7,8,"1",1,3,1,1,2,2,3,1,3,2,2,1,2,2,3,2,3,3,1,2,5,3,1,3,6,2,3,6,3
"9OFtgW","2015","female",6,"1","5",5,5,"1",1,1,3,2,1,2,1,1,3,2,3,1,2,2,2,1,2,5,1,5,1,1,1,6,5,6,6,2,2
"BFCoiR","2013","male",6,"6","6",8,7,"1",1,1,3,1,2,2,3,3,2,1,2,3,1,5,5,3,2,1,1,5,4,3,3,3,2,1,3,2,1
"q3uS3C","2012","male",6,"6","5",NA,7,"2",1,3,2,1,2,1,2,2,3,1,3,1,1,1,4,2,2,4,1,2,1,4,4,2,4,2,2,4,4
"h1By4r","2013","male",6,"2","3",8,6,"1",1,2,1,3,2,2,1,2,1,3,3,2,1,1,5,5,4,4,2,4,2,4,5,2,4,6,5,2,2
"kiSs5t","2014","female",2,"5","5",8,3,"1",1,3,1,1,3,1,2,2,2,1,1,3,2,5,4,2,5,2,2,4,5,5,3,1,4,3,5,1,3
"sPJKvu","2012","female",2,"5","5",8,6,"1",1,1,2,3,2,2,1,2,2,2,1,3,1,3,5,2,2,3,4,1,5,1,3,5,2,2,6,2,2
"JZg6ip","2014","female",2,"6",NA,NA,4,"2",1,3,1,1,3,2,1,1,2,3,1,2,1,5,2,3,1,5,5,5,6,3,6,2,1,1,3,6,3
"zBpTBs","2014","female",6,"4","5",8,4,"1",1,3,3,3,2,1,3,3,2,2,2,2,3,1,5,4,2,3,2,3,1,3,3,5,2,2,2,1,5
"mdj93K","2015","male",6,"5","3",7,6,"1",3,1,2,2,2,3,3,1,1,3,3,3,1,1,3,4,2,2,3,4,4,2,2,2,4,1,5,2,3
"8OpYbb","2012","male",6,"3","5",8,7,"1",1,1,1,1,3,2,1,2,2,1,3,1,1,1,5,4,1,3,2,1,1,2,1,5,5,3,4,2,4
"c89h55","2015","female",6,"3","3",NA,7,"2",1,1,2,3,1,1,1,2,3,3,2,2,2,1,4,2,3,5,5,2,2,5,2,6,5,5,3,4,2
"yjd61I","2015","male",6,"6","5",8,7,"1",2,3,2,3,2,3,1,3,2,3,1,1,3,1,1,4,1,1,1,3,5,4,5,3,1,3,6,4,1
"V6m1e3","2015","female",6,"3","5",8,6,"1",3,2,1,3,2,3,3,1,3,3,1,1,2,1,3,4,2,4,4,2,4,3,1,3,2,5,2,3,4
"TFChSw","2013","female",6,"3",NA,5,3,"1",2,1,3,2,2,1,1,1,1,1,2,3,1,2,1,3,3,1,3,2,4,5,6,3,4,5,5,2,1
"OL7Cke","2012","male",4,"6","5",NA,2,"2",3,3,2,3,3,2,1,3,1,2,1,1,1,4,1,1,1,2,4,1,6,5,5,2,2,2,4,2,5
"OTbUrk","2013","male",1,"6","5",8,8,"1",2,1,2,3,2,2,3,1,3,1,1,3,1,5,2,5,2,4,2,4,3,2,3,6,5,2,3,2,6
"Vm0GeW","2012","female",4,"6","2",8,7,"1",1,1,2,1,3,3,2,3,1,3,1,3,3,3,2,5,5,2,2,4,5,6,5,4,2,2,3,2,1
"pGGinb","2015","female",4,"3","5",NA,6,"2",1,2,2,2,1,2,2,3,1,3,2,1,2,4,2,2,3,4,4,3,3,3,4,4,6,3,5,3,2
"vMn3WM","2012","male",6,"2","4",8,4,"1",2,1,1,1,3,1,2,2,3,1,3,3,3,1,1,5,5,2,5,4,3,5,2,4,4,6,5,5,1
"LB2rYo","2013","female",6,"5","5",NA,3,"2",3,2,1,1,1,1,3,2,1,3,2,1,1,3,4,3,4,5,2,1,6,3,1,6,5,1,5,5,5
"Gv42GV","2013","female",6,"6","4",6,5,"1",3,2,2,2,3,2,1,2,2,2,1,1,1,4,5,2,5,5,2,3,4,6,3,2,5,3,1,4,6
"WsnNrv","2015","male",6,"6","6",NA,8,"2",3,1,2,2,2,3,2,2,2,1,2,2,1,5,2,2,2,1,3,3,3,5,2,1,1,4,1,4,2
"oE3P1m","2012","male",2,"5","4",7,5,"1",3,3,3,3,3,2,3,3,2,2,3,3,3,3,5,2,4,2,2,2,1,3,2,5,3,3,2,2,1
"9EIEpV","2015","female",4,"6","2",8,8,"1",1,2,3,3,2,2,2,2,3,2,1,2,2,2,1,2,3,4,3,1,6,3,4,1,3,3,4,4,3
"yEE0bh","2013","female",6,"4","3",8,8,"1",2,2,3,3,1,1,2,3,2,2,1,1,1,2,4,2,1,5,4,1,1,1,4,5,4,4,1,5,3
"OLfhxY","2012","male",3,"3","4",NA,4,"2",2,2,1,3,1,1,1,3,1,2,2,3,1,2,2,1,3,4,4,3,3,5,2,1,4,5,1,2,6
"MG5Ch1","2014","female",6,"3","2",7,5,"1",3,3,1,3,2,3,2,1,3,2,2,1,1,3,1,1,5,1,1,3,3,2,1,3,3,4,4,3,6
"eBOJy4","2014","male",2,"6","4",7,5,"1",2,3,1,1,2,2,3,3,2,3,2,1,1,1,1,2,3,3,4,4,3,3,6,2,3,1,6,1,1
"mGzYIq","2014","male",2,"6","3",NA,4,"2",3,2,1,2,1,1,3,1,2,2,2,3,2,4,5,2,5,3,4,3,4,1,3,4,2,1,6,2,3
"iicYY9","2013","female",2,"4","4",NA,5,"2",1,1,3,3,2,1,3,2,3,3,2,3,1,3,2,3,3,3,2,1,2,2,1,2,4,3,6,5,4
"PJTZjy","2013","female",6,"6","5",8,8,"1",1,3,1,3,2,2,2,2,3,2,1,3,2,4,5,2,1,1,1,1,4,6,5,2,1,3,1,2,3
"we5riC","2015","female",6,"5","4",8,8,"1",2,2,2,2,3,1,1,2,1,3,2,2,2,4,2,5,1,3,3,2,1,3,3,3,4,2,5,4,6
"rbJ1bA","2012","female",6,"5","5",6,6,"1",1,1,2,3,1,2,2,2,3,3,3,2,1,1,3,3,1,2,2,5,1,5,4,1,2,1,4,1,5
"F0mA5y","2015","female",6,"3","4",8,7,"1",3,1,3,2,3,1,1,3,2,3,2,3,1,4,1,4,4,1,1,2,2,1,4,3,2,3,5,2,2
"CVTSka","2012","female",6,"3","4",8,7,"1",3,3,3,3,1,2,1,3,3,2,2,1,3,5,4,2,2,3,2,2,2,2,1,4,1,4,3,1,6
"1SO7SY","2013","male",6,"5","5",8,7,"1",1,2,1,2,3,1,1,3,1,1,3,1,3,3,5,2,5,5,1,3,3,1,2,2,3,3,3,1,6
"7la3zm","2015","male",6,"6","4",8,7,"1",3,1,1,1,1,3,3,2,1,1,1,1,1,3,5,2,1,3,3,5,6,3,6,6,5,2,5,5,1
"UQBWsr","2013","female",7,"5","5",4,4,"1",3,3,2,2,1,1,2,2,3,2,1,1,2,3,1,1,1,1,2,3,4,4,4,1,3,4,1,3,3
"BB8nTB","2012","female",6,"6","5",8,7,"1",1,3,1,1,1,1,2,1,3,2,2,1,1,1,1,2,3,2,5,1,5,6,5,3,5,1,6,3,2
"Qzmd3Q","2012","female",6,"6","5",8,4,"1",3,3,3,3,2,3,3,1,2,1,3,1,1,5,1,5,3,3,1,2,2,6,6,1,2,1,3,4,2
"CnHshO","2015","male",6,"6","5",8,4,"1",3,1,3,3,1,1,1,1,3,2,1,1,1,1,3,4,2,3,5,4,4,3,3,1,1,2,3,6,2
"zt7VeC","2012","female",6,"2","5",7,5,"1",3,1,2,3,2,1,1,1,2,2,1,3,1,5,3,1,1,2,4,4,4,5,1,4,3,6,5,6,4
"085Bpb","2012","female",6,"3","2",8,3,"1",3,2,2,2,3,1,3,2,1,2,3,3,2,2,5,2,1,5,2,4,5,4,5,6,6,4,5,4,4
"nGCBfh","2014","male",1,"5",NA,8,4,"1",2,1,3,2,1,2,3,3,1,3,3,3,2,3,5,2,1,1,4,4,4,2,4,6,6,2,4,3,1
"xEKJMa","2012","male",2,"6","4",7,6,"1",2,3,1,3,2,1,1,1,2,3,2,3,3,3,2,2,2,1,4,1,4,2,5,4,3,2,2,4,6
"Mn64zz","2014","male",6,"3","4",8,6,"1",1,2,1,2,3,3,2,2,3,2,1,2,1,4,3,4,2,4,3,1,1,3,1,1,4,4,4,3,4
"CZaRpa","2014","female",3,"2","5",7,8,"1",1,2,3,1,3,1,2,2,2,1,1,2,2,2,2,4,4,1,3,3,2,3,2,6,5,6,1,5,4
"txc0AZ","2015","female",2,"5","3",8,6,"1",1,2,1,3,3,2,3,1,3,1,1,2,1,5,2,1,3,2,1,4,2,3,1,3,3,3,5,6,5
"rKBrpr","2012","male",6,"6","4",8,6,"1",3,2,1,2,1,1,2,3,1,1,1,1,1,1,5,2,3,5,1,1,2,3,4,2,2,2,2,2,3
"kIePMk","2013","male",4,"2","3",6,5,"1",3,2,3,1,2,1,1,3,3,1,3,2,3,4,3,2,4,5,3,1,1,2,2,1,1,5,5,1,2
"BxaQLY","2014","male",6,"5","4",8,7,"1",2,2,3,2,2,2,2,3,3,2,3,2,3,5,5,3,2,4,5,5,5,6,4,2,4,4,6,1,1
"lrneUw","2012","female",6,"6","4",8,7,"1",2,2,3,3,3,2,2,2,2,3,1,2,3,5,2,4,5,1,4,3,5,4,5,6,5,1,6,2,6
"gJLYV9","2013","female",6,"4","3",8,8,"1",1,2,3,1,2,2,3,1,2,1,2,1,1,2,1,1,4,2,3,2,1,2,2,6,4,2,5,5,3
"O3pPNP","2014","female",6,"3","3",8,4,"1",1,2,2,1,2,2,2,3,2,1,3,2,1,5,1,4,3,1,2,2,5,6,2,5,2,5,6,4,5
"ZszjFj","2015","female",2,"5","6",NA,7,"2",1,1,1,1,2,3,3,2,1,3,3,1,2,2,4,1,5,3,1,3,5,2,1,1,5,5,1,4,2
"kWGUB9","2013","female",6,"5","5",7,7,"1",2,2,2,1,2,2,1,1,3,3,2,2,2,1,1,3,2,1,2,2,4,2,3,3,2,3,4,3,3
"KAIvwE","2012","male",6,"6","5",8,6,"1",1,2,3,2,3,3,3,1,2,1,1,2,1,1,3,3,5,2,1,1,4,6,3,4,6,2,3,5,4
"OgsVLq","2014","female",6,"6","4",8,6,"1",1,2,3,1,2,3,2,2,1,3,3,1,1,5,3,3,2,3,4,1,4,3,5,2,5,1,4,1,6
"Bw7l3p","2015","male",6,"4","5",8,6,"1",3,3,3,2,1,1,1,1,1,2,2,1,2,2,4,3,4,3,3,5,1,1,5,2,3,4,3,4,3
"MyZZk1","2012","male",4,"6","4",7,5,"1",3,1,1,1,1,2,3,1,2,2,3,1,3,4,2,3,2,4,1,3,5,4,1,3,4,3,2,6,2
"riprTz","2015","male",4,"6","4",NA,7,"2",2,1,3,1,1,1,1,1,3,3,1,2,2,2,2,1,2,1,2,3,5,3,2,2,3,1,4,2,4
"57HjxD","2012","male",4,"3",NA,8,6,"1",2,3,3,3,1,1,2,2,1,3,3,2,2,4,3,2,2,5,4,5,1,3,2,2,5,3,4,1,3
"c1xHaV","2012","female",6,"5","5",6,5,"1",1,3,2,1,3,1,2,3,3,2,1,3,2,2,5,1,2,5,4,3,3,6,5,6,6,3,2,3,5
"y60zTc","2013","female",6,"3","5",4,4,"1",3,3,2,1,2,3,2,1,2,1,1,1,2,3,3,2,3,1,2,1,5,4,3,5,4,5,6,3,5
"YIfoE9","2012","male",3,"3",NA,8,8,"1",1,2,1,1,2,2,2,1,3,1,3,1,3,4,1,5,3,1,1,4,5,2,1,5,6,4,3,1,3
"GST9Er","2014","female",3,"4","2",NA,6,"2",2,2,2,3,2,3,1,2,1,3,1,3,2,1,2,4,1,4,3,4,3,3,2,4,3,1,4,1,4
"Q06gr4","2013","male",6,"6",NA,8,6,"1",2,2,1,2,1,3,3,1,1,3,3,1,1,1,5,1,3,1,4,4,3,5,5,2,3,3,1,2,2
"bzWQz3","2013","female",2,"3","5",8,6,"1",2,1,2,2,2,2,1,3,1,1,1,3,1,5,3,4,4,5,3,2,4,1,1,5,3,5,2,6,6
"Zd93ay","2013","female",6,"6","6",8,8,"1",3,1,2,1,2,2,2,2,2,1,2,1,3,4,3,4,4,4,5,3,4,5,3,1,1,3,1,3,6
"hhaJY3","2015","male",6,"6","4",8,7,"1",2,1,1,3,1,3,2,1,2,3,2,2,2,3,2,4,5,1,4,5,4,3,4,5,6,2,4,6,2
"qC3QwY","2015","female",6,"6","5",8,6,"1",2,2,3,3,1,3,1,3,2,1,3,2,1,4,1,1,3,4,5,5,4,3,1,2,4,1,4,6,1
"tjO8ed","2014","female",6,"3","5",8,6,"1",2,1,1,2,3,3,1,1,2,2,1,1,1,3,4,1,5,3,3,3,4,3,4,1,1,5,6,5,2
"m3URp6","2015","female",6,"3","1",8,7,"1",2,3,2,2,2,1,3,3,3,2,2,3,1,3,4,1,1,4,3,4,3,1,2,2,2,5,2,3,4
"mp77iD","2015","female",3,"3","4",5,3,"1",2,2,2,1,1,3,3,3,3,2,1,1,3,1,3,1,2,3,4,5,6,5,6,3,1,6,5,5,3
"ap9A9b","2012","male",6,"6","2",8,8,"1",2,2,1,2,2,3,1,2,3,1,1,3,1,4,3,4,3,5,3,5,3,2,3,6,5,1,4,3,6
"NOL7Cw","2015","female",6,"6",NA,7,6,"1",1,1,3,1,3,1,3,1,2,1,2,3,2,3,3,3,5,4,1,1,5,6,4,2,5,3,6,6,5
"K0vO8B","2014","female",6,"3","3",8,6,"1",1,1,1,2,1,1,3,1,2,2,2,2,1,2,5,1,1,3,5,3,3,2,5,1,2,6,2,4,5
"WeJuAY","2015","male",6,"6","4",7,5,"1",1,3,1,2,3,2,2,1,1,2,1,3,3,3,1,3,1,2,2,1,3,4,3,4,1,1,1,5,3
"Prprgk","2014","male",6,"3","4",8,6,"1",2,1,1,1,2,2,2,1,2,2,2,3,1,4,1,3,1,1,1,1,4,2,6,2,2,6,2,3,4
"6WCiN0","2012","female",4,"6","4",8,8,"1",1,3,3,2,2,1,3,1,3,3,1,3,2,3,3,3,2,3,5,4,4,3,5,1,1,2,3,1,5
"o68VaD","2012","male",2,"6","5",6,5,"1",1,3,1,1,1,3,1,3,3,1,2,1,1,4,4,4,4,5,3,3,6,6,5,3,1,6,2,5,2
"sebt0l","2012","female",6,"4","4",8,4,"1",1,1,2,1,3,3,2,3,3,2,1,3,2,5,1,1,1,3,3,1,1,3,2,1,1,3,3,5,6
"ykuXOR","2013","female",6,"6",NA,7,5,"1",2,1,2,2,3,1,3,3,1,1,2,3,1,3,5,2,5,4,1,4,6,5,4,6,6,4,1,5,6
"1fABDN","2013","female",6,"3","3",8,7,"1",3,2,1,2,2,3,2,2,2,1,2,1,1,1,2,4,2,3,3,1,4,2,4,5,2,5,5,3,5
"3OYrej","2014","female",6,"6","5",8,4,"1",2,1,2,2,1,3,2,3,3,3,3,1,3,1,4,1,3,4,2,3,3,5,6,6,1,3,1,2,3
"Z4yJL8","2013","female",2,"6","5",4,3,"1",1,2,3,1,2,2,1,2,2,2,2,1,3,3,3,2,2,1,1,5,4,5,6,1,2,1,2,2,5
"C2dIAj","2013","female",6,"1","3",8,7,"1",2,1,1,2,1,2,2,1,2,1,2,1,3,3,3,2,4,1,3,4,1,2,1,6,3,5,6,1,1
"H0LXGJ","2013","female",6,"3","5",6,6,"1",2,2,2,2,1,3,2,2,2,2,1,3,3,5,4,4,3,2,3,3,3,2,1,4,5,2,6,6,3
"BG1qLj","2013","male",6,"5","4",8,6,"1",3,2,1,1,2,2,2,1,1,1,3,2,3,2,3,3,4,4,3,3,6,2,4,1,4,5,1,5,2
"pBnRsr","2015","male",6,"6","3",8,4,"1",2,3,3,3,1,1,1,1,2,1,1,1,2,1,4,1,2,1,2,2,6,3,5,3,3,3,3,5,3
"T3U1ig","2014","female",6,"1","2",8,6,"1",1,3,2,1,3,3,1,2,2,3,1,1,1,1,5,1,5,1,1,5,2,1,4,1,5,6,4,2,3
"QW2Ggk","2012","male",6,"3","5",8,8,"1",1,3,3,1,2,2,1,1,1,1,1,2,2,2,3,1,1,1,3,5,3,2,5,6,2,6,1,3,4
"6fuYdk","2012","male",4,"6","5",8,6,"1",2,3,1,2,1,1,2,2,2,2,3,1,3,3,1,3,3,4,2,1,4,1,4,3,2,2,3,4,5
"vBCWLE","2013","female",4,"6","3",8,6,"1",1,2,1,1,2,1,1,1,3,3,3,1,3,4,4,5,4,2,5,2,4,6,4,5,6,1,4,2,5
"X7a03r","2013","female",6,"6",NA,8,6,"1",1,1,3,1,2,2,2,2,1,2,2,1,3,3,1,2,5,2,5,4,6,4,5,6,1,3,4,5,5
"pqDV10","2012","female",6,"5","2",7,5,"1",1,2,2,3,2,2,3,2,1,3,2,3,3,1,2,5,2,2,5,5,4,5,6,2,3,4,4,3,4
"L7NYTM","2015","female",6,"3","4",8,8,"1",2,1,3,1,1,2,1,2,2,2,2,2,2,1,3,5,5,3,2,2,1,2,2,3,3,4,2,2,3
"gnsvqa","2013","male",6,"6",NA,5,3,"1",2,3,3,3,1,2,3,3,1,3,1,2,2,4,4,3,3,5,3,4,4,5,3,2,2,3,1,5,4
"cl7Zfp","2012","female",6,"5","4",4,2,"1",3,2,3,2,3,2,3,2,2,2,1,1,2,4,1,2,2,5,3,4,5,4,5,2,2,3,5,4,5
